# Multipolar energy analysis (kT)
# r/AA             exact       total      ionion      iondip      dipdip     ionquad     mucorr
40.4               11.04        11.4        11.1      0.4992    -0.07125     -0.1347       0.397
40.6               10.23       10.23       11.03     -0.8274     0.02135     0.01411     -0.3464
40.8               10.05       10.68       10.98     -0.3192    0.005427    0.006256      0.4861
41                 10.11       10.27       10.94     -0.6355     -0.0355  -0.0007179     -0.1217
41.2               10.11       10.42       10.88     -0.5077     0.01867     0.03316     -0.2182
41.4               10.07       10.31       10.83      -0.524     0.01511    -0.01433    -0.05554
41.6               9.956       10.19       10.78     -0.5889     0.01587    -0.01028    -0.00845
41.8               9.927       10.17       10.72     -0.5537    0.009688   -0.006679    -0.01744
42                 9.876       10.14       10.67     -0.5293    0.008923    -0.01443    -0.02493
42.2               9.947       10.14       10.62     -0.4762    0.009517    -0.01241    -0.02906
42.4               9.885        10.1       10.57     -0.4604    0.005038    -0.02083    -0.03958
42.6               9.825       10.04       10.52     -0.4743    0.006679    -0.01879    -0.04919
42.8               9.863       10.03       10.48     -0.4343    0.006433     -0.0159    -0.03026
43                 9.816       9.987       10.43     -0.4268      0.0047    -0.01742    -0.05041
43.2               9.835       9.976       10.38     -0.3872    0.004985    -0.01943    -0.02419
43.4               9.807       9.948       10.33     -0.3669    0.001555    -0.01728    -0.02751
43.6               9.744       9.869       10.28     -0.4022    0.004751    -0.01705    -0.05468
43.8               9.741        9.85       10.24     -0.3763    0.004213    -0.01503    -0.03312
44                 9.735       9.823       10.19     -0.3531     0.00269    -0.01665    -0.02733
44.2               9.706       9.792       10.14     -0.3397    0.001665     -0.0138       -0.02
44.4                9.67       9.738        10.1     -0.3457     0.00149    -0.01588   -0.008756
44.6                9.66       9.718       10.05     -0.3239    0.003233    -0.01425     -0.0207
44.8               9.609       9.662       10.01     -0.3357    0.004201    -0.01465    -0.03148
45                 9.581       9.629       9.964     -0.3242    0.001882    -0.01254    -0.02129
45.2               9.568        9.61        9.92     -0.2976     0.00145    -0.01313    -0.02191
45.4               9.532       9.571       9.876     -0.2954    0.001523    -0.01096    -0.01622
45.6               9.481       9.516       9.832     -0.3047    0.001758    -0.01314    -0.02016
45.8               9.467       9.495        9.79     -0.2852    0.002154    -0.01156    -0.02018
46                 9.432       9.458       9.747     -0.2776   2.568e-05     -0.0115    -0.02036
46.2               9.404       9.428       9.705      -0.269    0.001911   -0.009981   -0.007868
46.4               9.366       9.386       9.663      -0.268    0.001625    -0.01057    -0.01961
46.6                9.35       9.365       9.621     -0.2455    0.000534    -0.01142    -0.01177
46.8               9.293       9.308        9.58     -0.2628    0.000294   -0.009506   -0.007491
47                 9.271       9.285        9.54     -0.2462    0.000797   -0.009146    -0.01715
47.2               9.238       9.252       9.499     -0.2393     0.00154   -0.009304    -0.01865
47.4               9.195       9.207       9.459     -0.2419    0.001701    -0.01182    -0.02184
47.6               9.161       9.172       9.419     -0.2392    0.001512   -0.009579    -0.01978
47.8                9.14       9.151        9.38     -0.2206   0.0002203   -0.008483    -0.01147
48                  9.12       9.129       9.341     -0.2037    0.000283   -0.008945    -0.01199
48.2               9.067       9.076       9.302     -0.2198   0.0009996   -0.007729    -0.01291
48.4               9.047       9.056       9.264     -0.1995  -5.514e-05   -0.008325    -0.02859
48.6               9.008       9.015       9.226     -0.2033    0.001407   -0.008216    -0.01925
48.8               8.975       8.982       9.188     -0.1985   0.0006337   -0.008198    -0.01215
49                 8.949       8.957        9.15     -0.1881   0.0007158   -0.006427    -0.01688
49.2               8.924       8.929       9.113     -0.1765  -0.0001805   -0.007727   -0.001297
49.4                8.88       8.886       9.076     -0.1819  -0.0003672   -0.008067     -0.0124
49.6               8.846       8.853        9.04     -0.1801   0.0001133    -0.00688   -0.003442
49.8               8.815        8.82       9.003     -0.1762   0.0004775   -0.007425   -0.008065
50                 8.787       8.792       8.967     -0.1677  -0.0006127     -0.0067   -0.006969
50.2               8.758       8.764       8.932     -0.1636  -0.0001131   -0.004143    -0.01262
50.4               8.731       8.736       8.896     -0.1563    0.001042    -0.00526   -0.002717
50.6               8.695       8.697       8.861     -0.1599    0.000596   -0.004102   -0.004368
50.8               8.655        8.66       8.826     -0.1618   0.0005633   -0.005294     -0.0145
51                 8.642       8.647       8.791     -0.1383   6.813e-05   -0.006039   -0.005742
51.2               8.592       8.595       8.757     -0.1552   0.0001461   -0.006869  -0.0009022
51.4               8.566       8.569       8.723     -0.1498    0.001243   -0.004861    -0.01169
51.6               8.543       8.545       8.689     -0.1397  -0.0004855   -0.003821   -0.006577
51.8               8.514       8.518       8.656     -0.1325  -8.714e-05   -0.005255   -0.003908
52                 8.486       8.488       8.622     -0.1307   0.0007132   -0.004205    -0.00829
52.2               8.452       8.455       8.589     -0.1301  -0.0003013   -0.003731   -0.003361
52.4                8.42       8.423       8.556     -0.1292   0.0002579   -0.004793    -0.01261
52.6               8.384       8.387       8.524     -0.1335   0.0004235   -0.004148   -0.009495
52.8               8.371       8.374       8.492      -0.115   0.0003871   -0.003295    0.002009
53                 8.336       8.339        8.46     -0.1178  -0.0001806    -0.00316    -0.00458
53.2               8.309       8.312       8.428     -0.1114  -0.0005197   -0.004338   -0.006407
53.4                8.28       8.283       8.396     -0.1098   0.0003574   -0.004242  -0.0006338
53.6               8.252       8.254       8.365     -0.1087   0.0001871   -0.002877   -0.004182
53.8               8.219       8.221       8.334     -0.1094   2.859e-05   -0.003232    -0.01078
54                 8.196       8.198       8.303     -0.1015   0.0001573   -0.003542   -0.001627
54.2               8.164       8.166       8.272     -0.1029  -0.0001461   -0.003577   -0.003778
54.4                8.13       8.132       8.242     -0.1064  -0.0004965   -0.002743   -0.005667
54.6               8.107        8.11       8.212    -0.09993   0.0008658   -0.003068   -0.003791
54.8               8.089       8.091       8.182     -0.0872   0.0001052   -0.003939   -0.007018
55                  8.05       8.052       8.152    -0.09745  -0.0001614   -0.002843    -0.01195
55.2               8.029       8.031       8.123    -0.08947   8.881e-05    -0.00231    0.002719
55.4               7.997       7.999       8.093    -0.09195  -6.284e-05   -0.002434   -0.004872
55.6               7.972       7.974       8.064    -0.08823   6.536e-05   -0.002284  -0.0006831
