# Multipolar energy analysis (kT)
# r/AA             exact       total      ionion      iondip      dipdip     ionquad     mucorr
34.8               2.462       2.465       12.89      -2.819      -7.605  -6.583e-13     0.09738
35                 2.902       2.905       12.79      -4.567      -5.321   1.732e-12      0.2799
35.2               3.487       3.489       12.72      -5.228      -4.001  -9.794e-14    0.003519
35.4               3.194       3.198       12.66      -2.119      -7.343   1.198e-12      0.4821
35.6               3.687       3.689       12.59      -3.238      -5.665   1.298e-12      0.3142
35.8               3.549       3.552       12.52       -2.48      -6.488   3.673e-13      0.3358
36                 3.811       3.814       12.45      -2.897      -5.743   8.759e-13      0.2602
36.2               3.738        3.74       12.38       -2.63      -6.013   8.292e-13      0.3444
36.4               3.807        3.81       12.31      -2.775      -5.729   9.845e-13      0.2563
36.6               3.932       3.934       12.25      -2.845      -5.469   7.691e-13      0.2861
36.8               3.978        3.98       12.18      -2.936      -5.266   6.575e-13      0.2235
37                 4.001       4.004       12.12      -2.766      -5.347    7.94e-13      0.2768
37.2               4.146       4.148       12.05      -2.897      -5.007   7.574e-13      0.2177
37.4               4.261       4.263       11.99      -2.814       -4.91   7.606e-13      0.2379
37.6               4.313       4.315       11.92      -2.873      -4.735   7.093e-13      0.2475
37.8               4.353       4.355       11.86      -2.996      -4.509    6.98e-13      0.2129
38                 4.427       4.429        11.8      -2.944      -4.425   6.785e-13      0.2113
38.2               4.539       4.541       11.74      -2.953      -4.243   6.533e-13      0.1931
38.4               4.544       4.546       11.67      -2.947      -4.182   6.421e-13      0.1984
38.6                4.62       4.621       11.61      -2.981      -4.012   6.145e-13      0.1859
38.8               4.665       4.666       11.55      -2.955      -3.933   5.937e-13      0.1756
39                 4.734       4.735        11.5      -2.936      -3.824   5.766e-13       0.182
39.2               4.769        4.77       11.44      -2.961      -3.706   5.672e-13      0.1652
39.4               4.838       4.839       11.38      -2.951      -3.589   5.327e-13      0.1575
39.6               4.888       4.889       11.32      -2.962      -3.471   5.234e-13      0.1587
39.8               4.924       4.925       11.26      -2.996      -3.344   5.127e-13      0.1404
40                 4.972       4.973       11.21      -2.996       -3.24   4.783e-13      0.1314
40.2               5.028       5.029       11.15      -2.954       -3.17   4.643e-13      0.1284
40.4               5.061       5.062        11.1      -2.992      -3.044   4.635e-13      0.1196
40.6               5.109        5.11       11.04      -2.999      -2.933    4.46e-13      0.1162
40.8               5.137       5.138       10.99      -2.975      -2.876   4.337e-13      0.1105
41                 5.161       5.161       10.94      -3.012      -2.762   4.132e-13      0.1011
41.2               5.208       5.208       10.88      -2.968      -2.707   4.011e-13     0.09837
41.4               5.255       5.256       10.83      -2.962      -2.612     3.8e-13     0.08877
41.6               5.275       5.275       10.78       -2.97      -2.533   3.782e-13     0.08976
41.8               5.301       5.301       10.73       -2.96      -2.465   3.751e-13     0.08259
42                 5.324       5.325       10.68      -2.923      -2.428   3.597e-13     0.08343
42.2               5.382       5.382       10.62      -2.931      -2.312    3.47e-13     0.07784
42.4               5.396       5.397       10.57       -2.93      -2.247   3.421e-13     0.07334
42.6               5.424       5.424       10.53      -2.908      -2.193   3.288e-13      0.0677
42.8               5.439        5.44       10.48        -2.9      -2.136   3.185e-13     0.05861
43                 5.475       5.476       10.43      -2.871       -2.08   3.066e-13     0.06345
43.2               5.502       5.502       10.38      -2.899      -1.978   3.005e-13     0.05484
43.4               5.542       5.542       10.33      -2.851      -1.938   2.954e-13     0.05587
43.6               5.551       5.552       10.28       -2.84      -1.892    2.85e-13     0.04984
43.8               5.579       5.579       10.24      -2.807       -1.85   2.725e-13      0.0502
44                 5.593       5.593       10.19      -2.828      -1.769   2.608e-13     0.04242
44.2               5.623       5.624       10.14      -2.793      -1.727   2.572e-13     0.04103
44.4               5.629        5.63        10.1      -2.779       -1.69   2.574e-13     0.03893
44.6               5.659        5.66       10.05      -2.757      -1.636   2.384e-13     0.03504
44.8               5.685       5.685       10.01      -2.737      -1.587   2.291e-13     0.03303
45                 5.686       5.686       9.964      -2.742      -1.535   2.193e-13     0.02657
45.2               5.733       5.734        9.92       -2.69      -1.496   2.233e-13     0.02514
45.4               5.722       5.722       9.876      -2.692      -1.461   2.196e-13     0.02232
45.6                5.75       5.751       9.833      -2.638      -1.444   2.102e-13     0.03029
45.8               5.754       5.754        9.79      -2.685       -1.35   2.028e-13      0.0179
46                 5.777       5.778       9.747      -2.634      -1.336   2.017e-13     0.02071
46.2               5.792       5.792       9.705      -2.616      -1.297   1.921e-13     0.01713
46.4               5.809       5.809       9.663      -2.593      -1.262   1.933e-13     0.02206
46.6               5.809       5.809       9.622       -2.58      -1.232   1.808e-13      0.0167
46.8               5.838       5.839        9.58      -2.525      -1.216    1.81e-13     0.01566
47                 5.841       5.841        9.54      -2.526      -1.172    1.63e-13    0.009973
47.2               5.848       5.848       9.499      -2.515      -1.136   1.656e-13     0.01014
47.4               5.865       5.865       9.459      -2.495      -1.099   1.647e-13    0.009588
47.6               5.887       5.887        9.42       -2.46      -1.072   1.605e-13     0.01042
47.8               5.894       5.895        9.38      -2.441      -1.044   1.529e-13    0.002781
48                 5.893       5.893       9.341      -2.437      -1.011   1.405e-13    0.005111
48.2               5.908       5.909       9.302      -2.411      -0.983   1.473e-13    0.001681
48.4               5.921       5.921       9.264      -2.374      -0.969   1.435e-13    0.009111
48.6                5.93       5.931       9.226      -2.359     -0.9356   1.353e-13   -0.001334
48.8               5.936       5.936       9.188       -2.35     -0.9018   1.407e-13    -0.00193
49                 5.952       5.952        9.15       -2.31     -0.8884   1.273e-13  -0.0009039
49.2               5.959       5.959       9.113      -2.278     -0.8756   1.229e-13  -0.0003689
49.4               5.978       5.978       9.076      -2.238      -0.861   1.256e-13    0.006223
49.6               5.981       5.981        9.04      -2.247      -0.811   1.133e-13   0.0006213
49.8               5.987       5.987       9.003       -2.23     -0.7864   1.064e-13   -0.005231
50                 5.997       5.997       8.967      -2.192     -0.7785   1.163e-13  -0.0001911
50.2               5.989       5.989       8.932      -2.166     -0.7764   1.123e-13   -0.002176
50.4                   6           6       8.896      -2.132     -0.7646   1.055e-13  -0.0001749
50.6               6.005       6.005       8.861      -2.129     -0.7276   1.055e-13    0.003497
50.8               6.018       6.018       8.826      -2.098     -0.7103   1.112e-13   -0.000484
51                 6.014       6.014       8.791      -2.082     -0.6948   1.047e-13    0.002824
51.2               6.002       6.002       8.757      -2.082     -0.6734   8.806e-14    -0.01003
51.4               6.008       6.008       8.723      -2.059     -0.6556   9.461e-14   -0.005512
51.6               6.038       6.038       8.689      -1.996      -0.655   9.655e-14     0.00532
51.8               6.025       6.025       8.656      -2.005     -0.6254   8.889e-14   -0.005016
52                 6.029        6.03       8.622      -1.991      -0.602    8.94e-14    -0.00527
